3-D WorldRunner|Acclaim|NES-WO-USA|C-
10-Yard Fight|Nintendo|none|E
10-Yard Fight|Nintendo|NES-TY-USA|E
1942|Capcom|NES-NF-USA|C+
1943: The Battle of Midway|Capcom|NES-43-USA|C+
720°|Mindscape|NES-72-USA|C
8 Eyes|Taxan|NES-8E-USA|C-
Abadox: The Deadly Inner War|Milton Bradley|NES-A3-USA|C
Action 52|Active Enterprises|Unlicensed|A
Addams Family, The|Ocean|NES-6Z-USA|B
Adventure Island|Hudson|NES-TB-USA|D
Adventure Island II|Hudson|NES-V7-USA|B-
Adventure Island 3|Hudson|NES-AT-USA|B
Adventures in the Magic Kingdom|Capcom|NES-VD-USA|B
Adventures of Bayou Billy, The|Konami|NES-MU-USA|C-
Adventures of Dino Riki|Hudson|NES-SG-USA|C
Adventures of Gilligan's Island, The|Bandai|NES-2L-USA|B+
Adventures of Lolo|HAL|NES-AV-USA|C+
Adventures of Lolo 2|HAL|NES-A4-USA|B-
Adventures of Lolo 3|HAL|NES-QL-USA|B+
Adventures of Rad Gravity, The|Activision|NES-2A-USA|B-
Adventures of Rocky & Bullwinkle & Friends, The|T*HQ|NES-RF-USA|B-
Adventures of Tom Sawyer|Seta|NES-YB-USA|B
After Burner (black)|Tengen|Unlicensed|C+
Air Fortress|HAL|NES-A1-USA|C
Airwolf|Acclaim|NES-AF-USA|C
Al Unser Jr. Turbo Racing|Data East|NES-FH-USA|C
Alfred Chicken|Mindscape|NES-AC-USA|B+
Alien 3|LJN|NES-X3-USA|B+
Alien Syndrome (black)|Tengen|Unlicensed|C+
All-Pro Basketball|Vic Tokai|NES-A2-USA|C
Alpha Mission|SNK|NES-AM-USA|C
Amagon|American Sammy|NES-M5-USA|C
American Gladiators|Gametek|NES-3A-USA|B-
Anticipation|Nintendo|NES-AP-USA|C
Arch Rivals: A BasketBrawl|Acclaim|NES-Q4-USA|C
Archon|Activision|NES-ON-USA|B
Arkanoid|Taito|NES-AR-USA|B+
Arkista's Ring|American Sammy|NES-A5-USA|B
Astyanax|Jaleco|NES-YX-USA|C
Athena|SNK|NES-AN-USA|C
Athletic World: Family Fun Fitness|Bandai|NES-AW-USA|B-
Athletic World|Bandai|NES-AW-USA-1|B-
Attack of the Killer Tomatoes|T*HQ|NES-47-USA|B-
Baby Boomer (blue)|Color Dreams|Unlicensed|B-
Back to the Future|LJN|NES-FU-USA|D
Back to the Future Part II & III|LJN|NES-L3-USA|C
Bad Dudes|Data East|NES-DU-USA|C
Bad News Baseball|Tecmo|NES-38-USA|B
Bad Street Brawler|Mattel|NES-BV-USA|C
Balloon Fight|Nintendo|none|C
Balloon Fight|Nintendo|NES-BF-USA|C
